input_text,target_text
He is in college.,"O, üniversitededir."
He is in pajamas.,O pijamalarını giymiş.
He is in trouble.,Onun sorunları var.
He is in trouble.,Başı belada.
He is just a kid.,O sadece bir çocuk.
He is my brother.,O benim erkek kardeşim.
He is my stepdad.,O benim üvey babam.
He is my teacher.,O benim öğretmenim.
He is never lazy.,O asla tembel değildir.
He is nice to me.,O bana karşı samimi.
He is not stupid.,O aptal değil.
He is often wild.,"O, çoğunlukla vahşidir."
He is overweight.,O kilolu.
He is past forty.,O kırkı geçmiş.
He is photogenic.,O fotojeniktir.
He is still here.,O hâlâ burada.
He is unsociable.,O sosyal değildir.
He is very angry.,O çok kızgın.
He is very angry.,Çok kızgın.
He is very brave.,O çok cesurdur.
He is very young.,O çok gençtir.
He is well-liked.,O popülerdir.
He isn't at home.,O evde değil.
He isn't married.,O evli değil.
He isn't perfect.,O kusursuz değil.
He isn't running.,O koşmuyor.
He just got home.,Eve henüz geldi.
He keeps a diary.,O bir günlük tutar.
He kept his word.,Sözünü tuttu.
He kept his word.,Sözünde durdu.
He knows his job.,"O, işini bilir."
He knows me well.,O beni iyi tanır.
He knows my wife.,O benim karımı tanır.
He laughed at me.,O bana güldü.
He left after me.,Benden sonra gitti.
He left his wife.,"O, karısını terk etti."
He left just now.,Az önce gitti.
He left the room.,Odayı terk etti.
He lied about it.,Onun hakkında yalan söyledi.
He likes animals.,"O, hayvanları sever."
He likes fishing.,O balık tutmayı seviyor.
He likes hunting.,O avlanmayı seviyor.
He likes oranges.,O portakalı sever.
He likes singing.,Şarkı söylemeyi seviyor.
He likes to cook.,O yemek pişirmeyi sever.
He likes to hunt.,O avlamayı seviyor.
He likes to sing.,O şarkı söylemeyi sever.
He likes to swim.,O yüzmeyi sever.
He looked around.,O etrafına bakındı.
He looks healthy.,O sağlıklı görünüyor.
He looks his age.,"O, yaşını gösteriyor."
He loves animals.,O hayvanları sever.
He loves fishing.,O balık tutmayı seviyor.
He loves rituals.,"O, ayinleri seviyor."
He loves singing.,"O, şarkı söylemeyi sever."
He loves to fish.,O balık tutmayı sever.
He made for home.,"O, eve doğru yürüdü."
He made me do it.,Onu bana yaptırdı.
He made me smile.,Beni güldürdü.
He made no reply.,O cevap vermedi.
He meant no harm.,Niyeti zarar vermek değildi.
He moves quickly.,O hızla hareket eder.
He must be tired.,O yorgun olmalı.
He must love her.,O onu sevmeli.
He must love you.,O seni seviyor olmalı.
He must not live.,O yaşamamalı.
He needs a towel.,Bir havluya ihtiyacı var.
He needs glasses.,Onun gözlüğe ihtiyacı var.
He never existed.,O asla var olmadı.
He outsmarted me.,O beni kurnazlıkla yendi.
He painted a dog.,O bir köpeği boyadı.
He played tennis.,O tenis oynadı.
He put up a flag.,O bir bayrak kaldırdı.
He ran into debt.,"O, borca girdi."
He ran up to her.,"O, ona erişti."
He ratted us out.,O bizi ispiyon etti.
He ratted us out.,O bizi gammazladı.
He ratted us out.,O bizi ele verdi.
He ratted us out.,O bizi sattı.
He ratted us out.,O bizi yüzüstü bıraktı.
He remained dumb.,O sessiz kaldı.
He retired at 65.,O 65 yaşında emekli oldu.
He sang and sang.,O sürekli şarkı söyledi.
He saved my life.,O benim hayatımı kurtardı.
He saw her video.,O onun videosunu gördü.
He scares easily.,O kolayca korkar.
He screams a lot.,O çok bağırıyor.
He seems healthy.,O sağlıklı görünüyor.
He shall have it.,"O, onu yiyecek."
He shares a room.,O bir odayı paylaşıyor.
He shook my hand.,Benimle tokalaştı.
He shut the door.,"O, kapıyı kapattı."
He slept all day.,O bütün gün uyudu.
He slept an hour.,"O, bir saat uyudu."
He slept soundly.,O mışıl mışıl uyudu.
He speaks Arabic.,"O, Arapça konuşuyor."
He speaks Arabic.,O Arapça konuşur.
He speaks French.,O Fransızca konuşur.
He stopped short.,O aniden durdu.
He terrified her.,O onu çok korkuttu
He terrified him.,O onu çok korkuttu
He threw his toy.,Oyuncağını attı.
He told everyone.,Herkese söyledi.
He told us a lie.,O bize bir yalan söyledi.
He took his book.,O kitabını aldı.
He took his time.,İstediği gibi zaman harcadı.
He turned around.,O etrafına bakındı.
He used his head.,"O, kafasını kullandı."
He used to drink.,O eskiden içerdi.
He wants an iPad.,O bir iPad istiyor.
He wants to come.,O gelmek istiyor.
He was acquitted.,O beraat ettirildi.
He was all wrong.,O tamamen hatalıydı.
He was born dumb.,O dilsiz doğdu.
He was born rich.,O zengin doğdu.
"He was deaf, too.",O da sağırdı.
He was impressed.,O etkilendi.
He was in France.,O Fransa'daydı.
He was my friend.,O arkadaşımdı.
He was perplexed.,O şaşırmış.
He was tenacious.,O inatçıydı.
He was tired out.,O bitkindi.
He was very poor.,"O, çok fakirdi."
He waved me away.,Bana el sallayarak gitmemi istedi.
He wears glasses.,O gözlük takar.
He wears pajamas.,O pijama giyer.
He went bankrupt.,"O, iflas etti."
He went far away.,O uzağa gitti.
He will be ready.,O hazır olacak.
He winked at her.,O ona göz kırptı.
He won't beat me.,O beni yenemez.
He won't make it.,Onu yapmayacak.
He works Sundays.,"O, pazar günleri çalışır."
He'll understand.,O anlayacak.
He's a Frenchman.,O bir Fransız.
He's a bad loser.,O kötü bir mağlup.
He's a bit drunk.,O biraz sarhoş.
He's a bit naive.,O biraz saf.
He's a bit tipsy.,O biraz çakırkeyf.
He's a cat lover.,O bir kedi sever.
He's a crude man.,O kaba bir adam.
He's a funny guy.,O komik bir adam.
He's a gentleman.,O bir beyefendidir.
He's a good liar.,O iyi bir yalancıdır.
He's a grown man.,O yetişkin bir adam.
He's a historian.,O bir tarihçidir.
He's a lifeguard.,O bir cankurtaran.
He's a nonsmoker.,"O, sigara içmeyen biri."
He's a smart boy.,O zeki bir çocuk.
He's a sophomore.,O bir ikinci sınıf öğrencisi.
He's a sweet guy.,O sevimli bir adam.
He's a weird guy.,"O, garip bir adamdır."
He's about to go.,Gitmek üzere.
He's all excited.,O tamamen heyecanlı.
He's always busy.,O her zaman meşgul.
He's at her side.,O onun tarafında.
He's from Lisbon.,Lizbonlu.
He's going blind.,O kör oluyor.
He's gone senile.,O bunadı.
He's got a point.,O haklı.
He's got the flu.,O grip oldu.
He's here for me.,O benim için burada.
He's in my class.,"O, benim sınıfımda."
He's in the well.,O kuyudadır.
He's intelligent.,O akıllı.
He's just a liar.,O bir yalancı.
He's kind of shy.,O biraz utangaç.
He's love struck.,O âşık.
He's new in town.,"O, şehirde yeni."
He's not like us.,O bizim gibi değildir.
He's not married.,O evli değil.
He's not my type.,O benim tipim değildir.
He's not perfect.,O mükemmel değil.
He's not serious.,"O, ciddi değildir."
He's not special.,O özel değil.
He's open-minded.,O açık fikirli.
He's out of town.,O şehir dışında.
He's over thirty.,O otuz yaşın üzerindedir.
He's ready to go.,O gitmek için hazır.
He's stark naked.,O çırılçıplak.
He's still alive.,O hâlâ hayatta.
He's still alive.,O hâlâ yaşıyor.
He's still young.,O hâlâ genç.
He's unconscious.,O kendinde değil.
He's very lonely.,O çok yalnız.
He's very stingy.,O çok cimri.
He's very strong.,O çok güçlü.
He's watching TV.,Televizyon seyrediyor.
He's watching TV.,"O, televizyon seyrediyor."
He's watching me.,O beni izliyor.
He's your father.,O senin baban.
He's your friend.,O senin arkadaşın.
Health is wealth.,Sağlık zenginliktir.
Heaven knows why.,Allah neden bilir.
Help me find Tom.,Tom'u bulmama yardım et.
Help me out here.,Bana burada yardım et.
Help me stand up.,Kalkmama yardım et.
Help me to do it.,Bunu yapmama yardım et.
Her bike is blue.,Onun bisikleti mavi.
Her hair is long.,Onun saçlı uzun.
Her name is Mary.,Onun adı Mary.
Here is my album.,İşte benim albümüm.
Here is the bill.,İşte fatura.
Here is your bag.,İşte senin çantan.
Here is your dog.,İşte sizin köpeğiniz.
Here is your dog.,İşte senin köpeğin.
Here is your key.,İşte anahtarın.
Here we go again.,İşte yine başlıyoruz.
Here's a new one.,İşte yeni bir tane.
Here's my chance.,İşte benim şansım.
Here's my chance.,İşte benim kısmetim.
Here's my wallet.,İşte benim cüzdanım.
Here's the truth.,İşte gerçek bu.
Here's your beer.,İşte biran.
Here's your coat.,İşte ceketin.
Here's your desk.,İşte masan.
Here's your milk.,İşte sütün.
"Here, drink this.","İşte, iç bunu."
"Here, let me try.","Burada, deneyeyim."
"Here, smell this.","İşte, kokla bunu."
"Here, try my pen.","Buyur, kalemimi dene."
"Here, use my key.","İşte, benim anahtarımı kullan."
"Here, use my pen.","Buyur, benim kalemimi kullan."
"Hey, I was wrong.","Hey, ben hatalıydım."
"Hey, are you Tom?","Hey, sen Tom musun?"
"Hey, don't worry.","Hey, endişelenme."
"Hey, it's my job.","Hey, bu benim işim."
"Hey, that's mine.","Hey, o benim."
"Hey, turn around.","Hey, arkanı dön."
"Hey, wait for me.","Hey, beni bekle."
"Hey, wait for me.","Hey, beni bekleyin."
"Hey, what's that?","Hey, o ne?"
"Hey, what's this?","Hey, bu nedir?"
"Hey, where's Tom?","Hey, Tom nerede?"
"Hey, who are you?","Hey, sen kimsin?"
Hi! I'm new here.,Merhaba! Ben burada yeniyim.
His eyes are red.,Onun gözleri kırmızıdır.
His eyes widened.,Gözleri büyüdü.
His face was red.,Onun yüzü kızarmıştı.
His name was Tom.,Onun adı Tom'du.
His wife was mad.,Karısı deliydi.
"Hmm, what's this?","Hımm, bu nedir?"
Hold on a minute.,Bir dakika bekle.
Hold on a moment.,Bir saniye bekle.
Hold on a second.,Bir saniye bekle.
Hold that for me.,Onu benim için tut.
Hold your breath.,Çeneni yorma.
Hold your breath.,Nefesini tüketme.
Hold your ground.,Yerinizi koruyun.
Hold your horses.,Kendinize hakim olun.
Hold your horses.,Kendini dizginle biraz.
Hold your tongue!,Çeneni tut!
Hone your skills.,Yeteneklerinizi geliştirin.
Hope hasn't died.,Umut ölmedi.
Horses eat grass.,Atlar ot yer.
Horses eat grass.,Atlar çimenleri yer.
How about Friday?,Cuma'ya ne dersin?
How about Monday?,Tom kadar yaratıcı görünmüyorsun.
How about a beer?,Bir biraya ne dersiniz?
How about a bite?,Bir şey yemeğe ne dersin?
How about a kiss?,Bir öpücüğe ne dersin?
How about a song?,Bir şarkıya ne dersin?
How about a walk?,Bir yürüyüşe ne dersiniz?
How are the eggs?,Yumurtalar nasıl?
How are the kids?,Çocuklar nasıl?
How are the odds?,Olasılıklar nasıl?
How are we doing?,Nasıl yapıyoruz?
How are you guys?,Nasılsınız çocuklar?
"How are you, Tom?","Nasılsın, Tom?"
How can Tom help?,Tom nasıl yardımcı olabilir?
How can you help?,Nasıl yardımcı olabilirsin?
How can you lose?,Nasıl kaybedebilirsin?
How can you tell?,Nasıl söyleyebilirsin?
How come you ask?,Nasıl olur da sorarsın?
How cool is that?,"O, ne kadar serin?"
How cool is this?,Bu ne kadar harika.
How could I know?,Nasıl bilebilirdim?
How crazy is Tom?,Tom ne kadar deli?
How did Tom help?,Tom nasıl yardım etti?
How did Tom know?,Tom nasıl bildi?
How did Tom look?,Tom nasıl görünüyordu?
How did he do it?,Onu nasıl yaptı?
How did that end?,Bu nasıl sona erdi?
How did they die?,Nasıl öldüler?
How did you cope?,Nasıl başa çıktın?
How did you cope?,Nasıl başa çıktınız?
How did you know?,Nasıl bildin?
How do I do that?,Bunu nasıl yaparım?
How do I do this?,Bunu nasıl yaparım?
How do I get one?,Nasıl bir tane alırım?
How do I respond?,Ben nasıl yanıtlarım?
How do I sign up?,Nasıl kaydolurum?
How do they cope?,Nasıl başa çıkıyorlar?
How do they feel?,Onlar nasıl hissediyor?
How do they know?,Onlar nasıl biliyor?
How do they look?,Onlar nasıl görünüyor?
How do we decide?,Biz nasıl karar veririz?
How do we fix it?,Bunu nasıl tamir ederiz?
How do we manage?,Nasıl idare ederiz?
How do you do it?,Onu nasıl yaparsın?
How do you plead?,Nasıl savunursun?
How do you relax?,Nasıl rahatlarsın?
How does it help?,Bu nasıl yardımcı olur?
How does it look?,O nasıl görünüyor?
How does it work?,O nasıl çalışır?
How easy is that?,O ne kadar kolay?
How easy is this?,Bu ne kadar kolay?
How embarrassing!,Ne kadar utanç verici!
How good are you?,Ne kadar iyisin?
How has Tom been?,Tom nasıldı?
How is Tom doing?,Tom nasıl?
How is Tom today?,Tom bugün nasıl?
How is that done?,O nasıl yapılır?
How is the salad?,Salata nasıl?
How is the smell?,Koku nasıl?
How is this fair?,Bu fuar nasıl?
How is your cold?,Nezlen nasıl?
How is your life?,Hayatın nasıl?
How large was it?,O ne kadar büyüktü?
How late was Tom?,Tom ne kadar geç kalmıştı?
How long is this?,Bu ne kadar uzunluktadır?
How lucky we are!,Ne kadar şanslıyız!
How melodramatic!,Ne melodramatik!
How might I help?,Nasıl yardım edebilirim?
How much is that?,O ne kadar?
How much is this?,Bunun fiyatı nedir?
How safe is safe?,Ne kadar güvenli güvenlidir?
How safe is that?,O ne kadar güvenli?
How strong he is!,O ne kadar güçlü!
How stupid he is!,Ne kadar aptal!
How stupid of me!,Ne kadar aptalım!
How tall are you?,Ne kadar uzunsun?
How tall are you?,Boyun ne kadar?
How tall you are!,Ne kadar uzunsun!
How true is that?,O ne kadar doğru?
How true is this?,Bu ne kadar doğru?
How unlucky I am!,Ben ne kadar şanssızım!
How very curious!,Ne kadar çok meraklı!
How was it today?,O bugün nasıldı?
How was the food?,Yemek nasıldı?
How was the game?,Oyun nasıldı?
How was the play?,Oyun nasıldı?
How was the show?,Gösteri nasıldı?
How was the trip?,Gezi nasıldı?
How was your day?,Günün nasıl geçti?
How was your nap?,Şekerlemen nasıldı?
How will it work?,Bu nasıl işe yarayacak?
How would I know?,Nasıl bilebilirdim?
How you've grown!,Nasılda büyüdün!
How young is Tom?,Tom ne kadar genç?
How're you doing?,Nasılsın?
How's that again?,Tekrar söyler misin? Anlamadım.
How's work going?,İş nasıl gidiyor?
How's your chest?,Göğsün nasıl?
"Hurry up, please.","Acele et, lütfen."
I abhor violence.,Şiddetten nefret ediyorum.
I admire his wit.,Onun ince zekasına hayranım.
I agree with Tom.,Tom'a katılıyorum.
I agree with Tom.,Tom'la aynı fikirdeyim.
I agree with him.,Onunla aynı fikirdeyim.
I agree with you.,Seninle aynı fikirdeyim.
I agree with you.,Sana katılıyorum.
I agreed to help.,Yardım etmeyi kabul ettim.
I agreed to stay.,Kalmayı kabul ettim.
I agreed to that.,Onu kabul ettim.
I agreed to wait.,Beklemeyi kabul ettim.
I almost drowned.,Neredeyse boğuluyordum.
I almost fainted.,Neredeyse bayılmıştım.
I almost gave up.,Neredeyse vazgeçiyordum.
I almost hit Tom.,Neredeyse Tom'a vuruyordum.
I almost laughed.,Neredeyse kahkaha atıyordum.
I already did it.,Onu zaten yaptım.
I already saw it.,Ben onu zaten gördüm.
I also like cake.,Ben de keki severim.
I also like cats.,Kedileri de severim.
I always do that.,Onu her zaman yaparım.
I always do this.,Ben bunu her zaman yaparım.
I always eat out.,Ben her zaman dışarıda yerim.
I always said no.,Ben her zaman hayır dedim.
I always says no.,Ben hep hayır derim.
I am a bit crazy.,Ben biraz deliyim.
I am a bit crazy.,Bende biraz çılgınlık var.
I am a bit drunk.,Biraz sarhoşum.
I am a foreigner.,Ben bir yabancıyım.
I am a housewife.,Ben bir ev hanımıyım.
I am a housewife.,Ben bir ev kadınıyım.
I am a masochist.,Ben bir mazoşistim.
I am a policeman.,Ben bir polisim.
I am a professor.,Ben bir profesörüm.
I am a volunteer.,Ben bir gönüllüyüm.
I am against war.,Savaşa karşıyım.
I am an American.,Ben bir Amerikanım.
I am an engineer.,Ben mühendisim.
I am cooking now.,Şimdi yemek pişiriyorum.
I am dumbfounded.,Ben hayrete düştüm.
I am eating rice.,Pirinç yiyorum.
I am embarrassed.,Ben utanç duyuyorum.
I am from Brazil.,Ben Brezilyalıyım.
I am from France.,Fransalıyım.
I am from France.,Fransa'danım.
I am from Norway.,Ben Norveçliyim.
I am from Russia.,Ben Rusyalıyım.
I am frying fish.,Balık kızartıyorum.
I am in Rome now.,Ben şimdi Roma'dayım.
I am not curious.,Meraklı değilim.
I am not kidding.,Dalga geçmiyorum.
I am not married.,Evli değilim.
I am not married.,Ben evli değilim.
I am not thirsty.,Susamadım.
I am not working.,Çalışmıyorum.
I am now on duty.,Ben şimdi görevdeyim.
I am on duty now.,Şimdi görevdeyim.
I am only joking.,Sadece şaka yapıyorum.
I am out of time.,Zamanım yok.
I am out of work.,Ben işsizim.
I am paid weekly.,Bana haftalık ödeme yapılır.
I am pretty sure.,Ben oldukça eminim.
I am really lazy.,Gerçekten tembelim.
I am still alone.,Hâlâ yalnızım.
I am truly sorry.,Gerçekten üzgünüm.
I am very hungry.,Ben çok açım.
I appreciate you.,Seni takdir ediyorum.
I appreciated it.,Onu taktir ettim.
I arrived at 2:30,Saat 02.30'da geldim
I arrived safely.,Ben sağ salim vardım.
I asked Mary out.,Mary'ye çıkma teklif ettim.
I asked for food.,Yemek istedim.
I asked for help.,Ben yardım istedim.
I ate on the bus.,Otobüste yemek yedim.
I ate the cheese.,Ben peynir yedim.
I ate your candy.,Senin şekerini yedim.
I baked brownies.,Kek pişirdim.
I became a woman.,Ben bir kadın oldum.
I became alarmed.,Alarma geçtim.
I became alarmed.,Endişelendim.
I became curious.,Meraklandım.
I became furious.,Ben öfkeli oldum.
I began coughing.,Ben öksürmeye başladım.
I began laughing.,Ben gülmeye başladım.
I began the book.,Kitaba başladım.
I began to blush.,Utanmaya başladım.
I began to dance.,Dans etmeye başladım.
I began to panic.,Panik yapmaya başladım.
I began to speak.,Konuşmaya başladım.
I began to sweat.,Terlemeye başladım.
I begin tomorrow.,Yarın başlarım.
I behaved myself.,Kendime geldim.
I behaved myself.,Terbiyemi takındım.
I behaved myself.,Terbiyeli davrandım.
I believe in God.,Ben Tanrı'ya inanıyorum.
I believe in God.,Ben Allah'a inanıyorum.
I believe in Tom.,Ben Tom'a inanıyorum.
I believe in him.,Ona inanıyorum.
I believe in you.,Sana inanıyorum.
I believe in you.,Ben size inanıyorum.
I bet Tom forgot.,Tom'un unuttuğundan eminim.
I bet it was Tom.,Onun Tom olduğuna eminim.
I bet it was Tom.,Onun Tom olduğundan eminim.
I bike to school.,Okula bisikletle gidiyorum.
"I blame you, too.",Ben de seni suçluyorum.
I bought a horse.,Bir at aldım.
I bought a house.,Bir ev aldım.
I bought a watch.,Ben bir saat aldım.
I bought flowers.,Çiçekler aldım.
I bought the car.,Araba satın aldım.
I bowed politely.,Ben kibarca selamladım.
I broke that one.,Onu kırdım.
I brought a book.,Bir kitap getirdim.
I brought dinner.,Akşam yemeğini getirdim.
I bumped my knee.,Benim dizimi çarptım.
I call Tom a lot.,Tom'u çok ararım.
I called earlier.,Daha önce aradım.
I called him Tom.,Ona Tom diye seslendim.
I came back home.,Eve geri geldim.
I came by myself.,Kendim geldim.
I came by myself.,Tek başıma geldim.
I came home late.,Eve geç geldim.
I came on Monday.,Pazartesi günü geldim.
I came to say hi.,Merhaba demek için geldim.
I came yesterday.,Dün geldim.
I can bake bread.,Ben ekmek pişirebilirim.
I can be patient.,Sabırlı olabilirim.
I can be trusted.,Güvenilir olabilirim.
I can carry that.,Onu taşıyabilirim.
I can dance well.,Ben iyi dans edebilirim.
"I can do it, too.",Onu ben de yapabilirim.
"I can do it, too.",Ben de onu yapabilirim.
I can explain it.,Ben bunu açıklayabilirim.
I can get you in.,Seni içeri alabilirim.
I can handle Tom.,Tom'un üstesinden gelebilirim.
I can hardly see.,Güçlükle görebiliyorum.
I can keep going.,Gitmeye devam edebilirim.
I can name names.,İsim verebilirim.
I can read minds.,Akılları okuyabilirim.
I can read minds.,Zihinleri okuyabilirim.
I can reschedule.,Yeniden planlayabilirim.
I can sense that.,Onu hissedebilirim.
I can smell fear.,Korkuyu hissedebiliyorum.
I can still work.,Hala çalışabilirim.
I can't allow it.,Buna izin veremem.
I can't beat Tom.,Tom'u yenemem.
I can't beat Tom.,Tom'u alt edemem.
I can't budge it.,Onu kımıldatamıyorum.
I can't call Tom.,Tom'u arayamıyorum.
I can't complain.,Şikâyet edemiyorum.
I can't die here.,Burada ölemem.
I can't die here.,Ben burada ölemem.
I can't eat meat.,Ben et yiyemem.
I can't eat pork.,Domuz eti yiyemem.
I can't eat that.,Ben bunu yiyemiyorum.
I can't eat this.,Bunu yiyemem.
I can't find Tom.,Ben Tom'u bulamıyorum.
I can't fire Tom.,Tom'u işten kovamam.
I can't fire you.,Seni kovamam.
I can't fix this.,Bunu tamir edemem.
I can't get away.,Ben kaçamam.
I can't go alone.,Tek başıma gidemem.
I can't go there.,Oraya gidemem.
I can't hate you.,Senden nefret edemiyorum.
I can't hear Tom.,Tom'u duyamıyorum
I can't hear you.,Seni duyamıyorum.
I can't help Tom.,Tom'a yardım sağlayamam.
I can't help you.,Sana yardım edemem.
I can't hurt Tom.,Ben Tom'a zarar veremem.
I can't hurt you.,Seni incitemem.
I can't hurt you.,Sana zarar veremem.
I can't join you.,Size katılamam.
I can't meet you.,Seninle görüşemem.
I can't pay them.,Onları ödeyemem.
I can't prove it.,Onu ispat edemem.
I can't quit now.,Artık bırakamam.
I can't reach it.,Ben ona ulaşamam.
I can't read yet.,Henüz okuyamıyorum.
I can't remember.,Ben hatırlayamıyorum.
I can't save you.,Seni kurtaramam.
I can't say that.,Onu söyleyemem.
I can't see well.,İyi göremiyorum.
I can't show you.,Sana gösteremem.
I can't stand it.,Ona katlanamıyorum.
I can't stand up.,Ayağa kalkamam.
I can't stop Tom.,Tom'u durduramam.
I can't stop her.,Onu durduramam.
I can't stop him.,Onu durduramam.
I can't stop now.,Şimdi duramam.
I can't stop you.,Seni durduramam.
I can't swim yet.,Henüz yüzemiyorum.
I can't talk now.,Şimdi konuşamam.
I can't tell yet.,Henüz söyleyemem.
I can't tell you.,Sana söyleyemem.
I can't use that.,Bunu kullanamam.
I can't use this.,Bunu kullanamam.
I cannot stop it.,Onu durduramam.
I cannot whistle.,Islık çalamam.
I care about Tom.,Tom'u önemsiyorum.
I care about you.,Seninle ben ilgilenirim.
I care about you.,Sana ben bakarım.
I care about you.,Seni önemsiyorum.
I caught a mouse.,Bir fare yakaladım.
I caught the dog.,Köpeği yakaladım.
I caught the flu.,Ben gribe yakalandım.
I choose to work.,Çalışmayı tercih ettim.
I chose the wine.,Şarabı seçtim.
I climbed a tree.,Bir ağaca tırmandım.
I closed my door.,Kapımı kapattım.
I closed my eyes.,Gözlerimi kapattım.
I closed one eye.,Bir gözümü kapadım.
I closed the lid.,Kapağı kapattım.
I collect comics.,Ben çizgi romanlar topluyorum.
I collect stamps.,Pul topluyorum.
I complain a lot.,Çok şikayet ediyorum.
I complain a lot.,Ben çok yakınıyorum.
I confiscated it.,Ona el koydum.
I confronted Tom.,Tom'la yüz yüze geldim.
I considered Tom.,Tom'u düşündüm.
I could be right.,Ben haklı olabilirim.
I could help Tom.,Tom'a yardım edebildim.
I could help you.,Sana yardım edebilirim.
I could kill you.,Seni öldürebilirim.
I could kiss you.,Seni öpebilirim.
I could see that.,Bunu görebiliyordum.
I could see that.,Bunu görebilirdim.
I could've cried.,Ağlayabilirdim.
I couldn't do it.,Onu yapamadım.
I couldn't sleep.,Uyuyamadım.
I couldn't speak.,Konuşamadım.
I couldn't stand.,Ben katlanamadım.
I cried for help.,Yardım için bağırdım.
I deliver pizzas.,Ben pizza dağıtırım.
I deserve better.,Daha iyisini hak ediyorum.
I deserve to win.,Ben kazanmayı hak ediyorum.
I did a good job.,İyi bir iş yaptım.
I did everything.,Her şeyi yaptım.
I did it already.,Onu zaten yaptım.
I did it for Tom.,Onu Tom için yaptım.
I did it for him.,Onu onun için yaptım.
I did it for you.,Onu senin için yaptım.
I did it quickly.,Ben onu çabucak yaptım.
I did that again.,Ben bunu tekrar yaptım.
I did that today.,Onu bugün yaptım.
I did that wrong.,Ben bunu yanlış yaptım.
I did well today.,Bugün iyi yaptım.
I didn't ask Tom.,Tom'a sormadım.
I didn't ask you.,Sana sormadım.
I didn't deny it.,Ben onu reddetmedim.
I didn't do much.,Çok fazla yapmadım.
I didn't do that.,Onu yapmadım.
I didn't do this.,Bunu yapmadım.
I didn't do well.,Ben iyi yapmadım.
I didn't find it.,Onu bulmadım.
I didn't get one.,Bir tane almadım.
I didn't give up.,Vazgeçmedim.
I didn't go home.,Ben eve gitmedim.
I didn't have it.,Bende yok.
I didn't hear it.,Ben onu duymadım.
I didn't hit Tom.,Tom'a vurmadım.
I didn't hug Tom.,Tom'a sarılmadım.
I didn't like it.,Ondan hoşlanmadım.
I didn't lose it.,Onu kaybetmedim.
I didn't mean it.,Ben onu demek istemedim.
I didn't need it.,Buna ihtiyacım yoktu.
I didn't protest.,Protesto etmedim.
I didn't read it.,Onu okumadım.
I didn't say yes.,Ben evet demedim.
I didn't see Tom.,Tom'u görmedim.
I didn't see her.,Onu görmedim.
I didn't see him.,Onu görmedim.
I didn't see you.,Seni görmedim.
I didn't succeed.,Ben başarılı olmadım.
I didn't take it.,Onu almadım.
I didn't testify.,Tanıklık etmedim.
I didn't want it.,Onu istemedim.
I dislike coffee.,Ben kahve sevmem.
I disregarded it.,Onu umursamadım.
I do as I'm told.,Bana söylendiği gibi yaparım.
I do believe you.,Sana inanıyorum.
I do believe you.,Elbette sana inanıyorum.
I do believe you.,Elbette size inanıyorum.
I do forgive Tom.,Ben Tom'u affederim.
I do have a plan.,Bir planım var.
I do pretty well.,Oldukça iyi yaparım.
I do remember it.,Onu hatırlıyorum.
I do remember it.,Onu elbette hatırlıyorum.
I do study a lot.,Ben çok çalışırım.
I do what I want.,İstediğimi yaparım.
I don't buy that.,Beni kandıramazsın.
I don't buy that.,Ona inanmıyorum.
I don't buy that.,Bunlara karnım tok benim.
I don't buy that.,Bana yutturamazsın.
I don't care why.,Sebebi umurumda değil.
I don't disagree.,Ben katılıyorum.
I don't do drugs.,Uyuşturucu kullanmam.
I don't doubt it.,Ondan şüphelenmiyorum.
I don't eat beef.,Sığır eti yemiyorum.
I don't eat eggs.,Ben yumurta yemem.
I don't eat fish.,Ben balık yemem.
I don't eat meat.,Et yemem.
I don't eat much.,Çok yemek yemem.
I don't eat pork.,Domuz eti yemem.
I don't envy her.,Onu kıskanmam.
I don't envy him.,Onu kıskanmam.
I don't envy you.,Seni kıskanmam.
I don't exercise.,Ben egzersiz yapmam.
I don't get paid.,Ben ödeme almıyorum.
I don't get sick.,Ben hastalanmam.
I don't get this.,Bunu almam.
I don't hate Tom.,Tom'dan nefret etmiyorum.
I don't hate him.,Ondan nefret etmiyorum.
I don't hate you.,Senden nefret etmiyorum.
I don't have one.,Bir taneye sahip değilim.
I don't know Tom.,Tom'u tanımam.
I don't know her.,Onu tanımıyorum.
I don't know her.,Onu bilmiyorum.
I don't know him.,Onu tanımıyorum.
I don't know how.,Yöntemi bilmiyorum.
I don't know why.,Nedenini bilmiyorum.
I don't know yet.,Ben henüz bilmiyorum.
I don't know yet.,Hâlâ bilmiyorum.
I don't know you.,Seni tanımıyorum.
I don't like Tom.,Tom'u sevmiyorum.
I don't like her.,Onu sevmiyorum.
I don't like her.,Ondan hoşlanmıyorum.
I don't like him.,Onu sevmiyorum.
I don't like tea.,Çay sevmem.
I don't like you.,Senden hoşlanmıyorum.
I don't love Tom.,Tom'u sevmiyorum.
I don't love her.,Onu sevmiyorum.
I don't love him.,Onu sevmiyorum.
I don't mean you.,Sizi kasdetmiyorum.
I don't miss Tom.,Ben Tom'u özlemiyorum.
I don't need Tom.,Tom'a ihtiyacım yok.
I don't need you.,Sana ihtiyacım yok.
I don't remember.,Ben hatırlamıyorum.
I don't remember.,Hatırlamıyorum.
I don't think so.,Öyle olduğunu sanmıyorum.
I don't think so.,Öyle düşünmüyorum.
I don't use them.,Onları kullanmam.
I don't want any.,Herhangi bir şey istemiyorum.
I don't want her.,Onu istemiyorum.
I don't want ice.,Buz istemiyorum.
